500 800
13 35 992
63 32 648
60 23 852
61 47 522
56 96 706
36 18 706
18 27 596
7 97 681
86 25 811
26 17 561
70 63 877
66 53 988
91 61 972
1 18 838
18 8 525
1 8 869
7 66 697
36 44 889
23 77 858
68 21 848
99 68 527
33 81 549
6 23 703
8 69 646
99 27 522
87 39 500
60 79 825
19 0 578
6 51 685
65 33 645
28 87 734
43 57 584
46 89 625
64 73 887
31 65 964
6 15 934
69 70 600
53 20 881
43 86 910
0 36 790
14 30 573
84 96 805
16 12 631
80 19 758
97 9 661
16 10 624
5 47 614
30 90 955
1 28 575
67 5 594
38 5 990
29 0 627
90 95 815
99 36 961
72 95 784
24 23 612
75 14 574
10 23 907
11 3 856
16 53 795
91 76 609
20 43 788
18 71 635
41 27 924
28 21 524
1 66 947
17 90 716
84 28 901
50 47 973
5 37 630
44 57 705
22 25 998
61 65 755
67 20 607
56 49 535
62 1 945
80 82 998
33 53 843
88 66 590
38 9 510
32 47 597
6 95 888
63 81 580
91 61 545
81 94 612
54 15 766
1 43 832
86 8 704
8 69 796
3 63 591
59 87 968
88 82 858
53 65 612
34 32 934
74 100 768
43 9 740
87 9 619
3 47 832
57 17 932
43 44 989
21 3 1000
64 93 581
50 11 763
73 23 625
18 45 754
20 93 504
50 84 932
3 49 762
79 54 967
40 25 652
28 49 950
28 30 841
27 59 985
25 58 670
64 4 825
10 87 879
96 55 722
61 99 640
56 91 530
31 24 539
8 56 873
64 40 974
22 56 764
16 64 978
90 32 505
38 3 823
1 99 998
53 82 507
41 85 846
37 82 615
83 29 852
40 95 575
0 59 602
38 2 661
33 2 896
36 62 555
18 18 859
19 26 937
44 65 615
100 61 545
69 90 837
10 86 719
41 36 509
6 86 699
27 95 660
61 73 617
33 73 592
24 14 818
23 2 691
100 28 917
72 78 555
88 11 953
76 81 914
36 85 892
1 79 831
0 59 746
51 35 848
18 19 849
80 37 897
48 39 752
99 62 545
10 35 648
69 83 667
89 57 644
21 46 702
8 3 896
42 20 965
53 34 942
0 81 681
83 30 634
73 33 586
71 88 543
24 85 783
99 29 796
48 59 640
63 16 989
39 84 909
2 21 558
86 93 632
22 11 522
69 56 856
70 89 867
96 54 543
6 99 756
61 97 856
71 35 946
89 4 995
46 81 623
14 5 591
66 42 991
89 91 838
48 33 555
90 45 631
71 82 968
53 23 942
66 34 507
32 18 545
23 54 964
46 20 562
96 62 518
48 5 900
20 32 921
26 34 774
44 16 747
36 37 796
19 8 903
22 11 592
47 69 506
59 51 533
14 4 837
14 56 700
1 50 846
57 71 662
73 79 659
76 64 704
1 5 757
89 70 660
37 86 714
65 8 883
66 84 654
26 34 764
47 9 536
100 47 883
70 32 705
23 13 938
22 80 749
70 21 555
51 64 952
17 0 789
47 37 533
85 72 766
22 69 764
90 82 611
95 88 997
40 96 590
68 40 502
59 68 952
87 63 825
82 87 838
18 98 970
8 95 708
46 99 691
41 71 804
40 50 893
64 0 725
22 97 719
48 49 986
81 39 969
21 50 766
83 38 892
83 84 883
14 61 529
55 90 711
1 91 830
32 76 967
33 17 775
11 42 809
96 32 788
65 4 716
23 95 500
84 6 655
34 49 831
67 91 976
30 35 672
11 69 585
80 1 997
45 10 665
90 21 809
7 29 568
7 28 991
49 84 537
33 71 752
88 12 588
84 93 510
31 81 721
12 59 640
11 62 876
93 16 548
17 63 966
43 77 823
75 22 855
43 4 569
38 40 594
37 44 759
46 36 711
97 69 733
29 28 742
20 8 514
49 80 566
26 84 802
5 89 566
45 91 691
2 37 924
37 44 661
77 72 703
2 34 879
39 27 787
63 22 670
98 76 711
19 96 705
40 20 969
24 32 648
74 76 554
5 53 511
70 49 507
37 5 581
93 11 885
72 91 645
24 22 761
13 14 832
17 46 892
75 89 515
58 4 555
77 66 855
90 14 842
71 46 620
76 41 567
67 66 738
74 86 715
43 84 581
55 75 650
60 63 503
88 41 913
17 23 718
35 49 852
39 26 610
95 95 672
54 12 657
14 14 811
28 10 540
83 4 634
1 32 537
73 9 917
74 28 986
81 14 928
21 76 633
44 66 655
54 30 582
36 78 854
25 45 693
93 92 932
57 7 833
68 65 854
47 46 928
6 9 730
43 45 982
50 58 694
32 84 974
19 86 769
25 90 690
8 87 599
29 64 507
16 73 848
15 24 714
30 43 905
65 17 945
33 88 708
39 65 910
49 82 959
6 52 869
5 63 831
6 59 871
59 74 647
75 78 766
92 48 800
24 7 617
9 67 821
55 4 798
23 13 661
9 46 537
87 97 978
69 50 786
65 88 886
8 26 907
8 52 996
8 18 500
12 16 997
26 58 734
70 97 629
89 15 589
59 48 720
32 61 889
54 88 879
23 76 710
91 59 749
95 67 658
40 9 588
56 71 759
9 100 631
12 22 915
3 77 536
66 1 546
71 37 996
93 25 922
69 25 809
0 38 605
64 36 648
8 60 659
15 38 532
17 79 835
38 87 625
5 89 997
47 6 637
7 85 856
79 31 569
79 58 929
20 86 777
23 0 734
62 77 562
9 51 929
53 65 775
81 23 887
63 43 865
83 72 616
61 44 972
45 89 873
25 35 528
66 20 735
64 55 829
21 5 792
61 5 500
18 55 577
47 97 592
4 13 630
50 82 637
65 94 826
60 51 892
56 59 919
32 55 616
78 30 878
10 30 726
43 10 737
49 54 894
30 97 711
37 42 610
32 36 616
95 8 797
28 91 834
38 5 861
18 89 897
24 12 888
10 56 817
13 60 992
69 53 533
22 41 639
95 78 707
4 70 962
76 16 937
29 29 963
58 84 988
39 98 844
10 51 527
5 59 665
18 20 678
11 73 842
41 9 899
75 59 681
4 59 971
96 41 862
52 21 924
17 87 682
24 88 885
80 39 883
60 67 776
20 23 799
38 87 817
59 90 666
2 41 662
28 78 608
16 25 982
37 61 738
80 6 581
49 85 953
49 86 985
51 99 555
46 16 870
6 5 967
47 69 803
20 73 924
16 17 615
61 32 654
42 83 855
55 16 748
98 3 879
48 93 660
88 99 879
34 62 681
81 22 819
64 94 746
76 6 707
61 51 588
89 94 714
64 52 602
79 73 714
64 58 814
37 69 500
87 23 996
13 56 877
31 40 579
35 2 812
25 69 157
62 46 160
93 52 106
40 58 144
100 35 108
31 30 129
80 48 148
28 49 121
54 7 167
46 93 116
55 30 196
37 30 169
27 89 106
25 18 138
24 98 146
61 78 197
88 67 127
75 78 194
87 55 133
58 40 194
87 41 164
14 23 160
80 21 125
95 53 156
82 17 183
81 61 158
10 18 110
65 68 194
28 44 137
58 47 133
8 86 134
79 22 116
31 45 181
13 34 129
44 45 192
35 3 109
96 2 186
11 63 128
83 78 153
42 90 120
80 52 166
8 66 165
53 84 178
50 54 134
35 31 137
45 58 132
73 64 178
31 10 183
37 88 136
74 77 144
49 65 124
74 86 170
54 96 108
45 84 109
60 33 192
70 26 145
18 13 169
92 22 145
31 80 139
70 66 147
25 96 157
54 44 177
94 59 162
80 43 173
77 14 101
25 29 120
94 95 135
43 30 116
48 30 162
79 44 115
94 38 161
80 3 124
61 10 178
21 34 170
31 12 190
93 10 123
72 28 181
99 14 153
61 16 155
66 20 107
8 62 123
27 25 173
85 27 161
87 95 134
88 56 143
43 27 143
85 17 127
29 45 145
56 92 130
51 41 192
58 59 196
49 38 146
40 21 141
17 95 180
78 74 153
44 19 109
35 48 130
13 29 143
35 91 189
81 55 125
36 15 114
43 49 115
6 15 138
82 31 147
59 70 105
34 25 199
16 76 130
89 25 148
26 19 132
56 90 120
47 47 197
57 69 164
23 87 199
32 81 177
23 64 181
18 12 111
90 50 111
57 69 186
42 10 197
59 92 186
37 12 163
94 99 172
30 13 197
33 96 129
31 94 159
49 60 157
93 0 183
86 9 155
94 86 122
28 29 184
85 9 129
41 70 110
94 4 130
14 10 113
7 5 149
19 17 178
51 100 172
56 74 200
17 91 174
0 73 190
35 28 136
54 23 126
39 57 130
93 72 126
88 36 135
91 16 167
62 72 151
66 77 123
29 17 146
27 12 169
79 77 104
100 32 137
54 97 175
77 56 132
34 33 113
86 94 198
52 92 128
10 91 197
58 58 135
44 3 106
0 52 103
56 24 169
89 16 171
50 42 120
0 76 135
93 71 146
60 67 146
73 70 196
30 38 142
12 87 186
91 42 105
52 37 133
14 9 124
6 52 157
85 80 139
72 5 115
99 98 128
64 46 127
18 27 164
36 96 161
17 78 118
32 76 160
56 28 104
96 57 100
70 8 175
3 69 180
15 61 101
82 51 138
90 23 119
53 4 140
26 36 170
82 19 117
98 33 136
39 62 131
39 20 132
54 42 131
53 67 146
71 74 100
61 0 186
60 92 193
58 37 137
98 42 105
15 67 106
11 16 158
14 52 111
90 83 195
53 46 177
99 54 102
9 97 188
55 67 123
77 90 172
60 78 119
70 13 154
1 84 165
5 29 128
45 97 129
73 31 187
6 22 129
11 18 117
17 23 111
21 91 153
8 86 134
8 1 152
70 57 145
38 7 155
36 23 116
47 50 146
93 91 152
61 63 136
38 86 136
27 28 190
89 43 120
5 79 116
40 42 102
12 19 165
39 37 108
68 40 200
4 75 117
38 33 119
17 16 137
87 35 157
76 84 185
53 0 146
60 0 178
14 56 120
21 83 151
23 95 195
84 72 143
27 87 101
5 88 152
9 59 191
19 15 147
76 6 122
66 92 194
66 62 117
2 59 154
41 24 169
70 98 145
40 27 105
74 52 176
90 23 198
42 86 129
89 39 187
100 39 165
53 45 105
36 34 142
45 2 156
29 60 170
30 6 138
21 78 155
21 75 136
46 51 126
71 58 139
35 68 126
61 64 160
62 19 117
84 7 130
61 68 151
6 85 103
27 7 112
96 42 175
71 24 137
42 23 140
14 5 109
92 11 116
29 35 174
9 89 148
26 74 127
47 0 159
32 68 115
97 84 159
80 21 199
76 2 118
5 24 141
44 89 191
22 95 117
99 47 179
56 13 185
55 34 106
70 26 163
51 15 184
18 82 196
2 89 144
70 72 113
77 38 183
84 85 106
74 71 125
35 24 111
3 6 116
86 52 161
28 0 118
11 58 167
65 28 197
45 29 131
32 84 116
36 82 103
48 44 143
48 55 130
61 100 196
50 69 183
50 0 132
71 44 178
52 46 124
92 1 157
65 90 111
49 1 181
7 56 153
52 71 158
87 69 163
19 43 163
96 47 118
45 5 108
48 67 117
82 40 165
84 15 177
25 38 154
84 54 133
79 57 101
40 68 150
13 44 104
14 13 126
4 83 166
81 72 125
67 88 149
18 76 109
95 72 182
57 43 156
35 72 146
34 67 127
33 63 175
71 89 126
83 65 110
88 18 150
47 55 185
89 81 152
75 27 188
50 65 165
94 65 147
9 78 199
99 38 152
30 26 113
2 20 150
7 41 151
76 24 111
42 55 103
36 66 106
77 85 188
13 85 119
19 28 125
2 25 198
62 92 132
63 52 106
55 90 182
75 80 194
26 43 160
51 6 144
33 78 109
44 39 104
55 71 139
78 23 141
8 19 172
97 30 143
65 69 192
54 18 131
68 40 113
36 30 116
57 34 142
42 93 174
86 86 153
71 46 185
100 32 147
51 89 187
36 15 121
9 26 167
20 15 166
44 14 177
40 29 129
16 6 109
8 1 185
18 31 157
8 4 131
18 24 187
85 30 115
92 74 179
44 0 191
64 11 166
72 62 121
4 82 190
69 61 145
80 15 165
61 48 180
15 95 124
16 75 166
51 40 190
91 4 175
74 53 155
62 58 168
88 3 156
90 40 104
29 31 141
87 1 193
74 29 150
3 75 119
88 94 151
93 71 122
57 23 157
77 49 116
57 71 123
81 1 134
0 48 167
30 28 196
75 46 166
93 91 184
45 78 135
38 80 149
73 98 123
59 76 185
60 20 147
17 17 153
74 61 135
29 14 154
54 11 198
4 3 127
63 25 199
27 32 175
95 25 169
75 38 104
23 90 112
10 84 125
91 44 126
29 8 176
33 37 119
66 10 127
6 54 168
52 28 133
87 97 181
76 76 139
88 75 175
2 25 115
61 52 167
23 92 115
96 37 141
26 89 195
75 81 148
99 28 118
43 13 157
41 66 170
61 20 122
0 70 191
42 48 107
18 96 190
91 54 155
33 86 145
25 63 182
20 50 184
64 75 118
50 41 107
100 59 113
5 7 111
81 25 152
75 66 114
33 41 124
46 49 145
79 82 192
88 48 140
87 58 168
39 20 167
18 100 167
3 83 147
55 64 126
99 34 160
94 47 164
14 67 167
89 22 147
54 21 173
42 4 152
21 38 140
49 18 145
73 24 164
67 91 132
5 75 152
94 87 170
95 14 164
63 59 151
88 45 178
47 74 147
90 19 147
41 27 109
22 77 138
81 71 135
35 97 154
18 53 106
69 24 149
52 49 167
33 36 167
15 9 130
13 40 158
33 44 113
80 24 152
55 57 190
97 18 134
5 8 198
75 10 166
46 45 106
49 85 159
73 73 178
39 92 116
14 91 156
12 55 161
90 45 130
7 24 132
20 28 193
0 26 192
24 61 167
19 6 140
60 97 119
40 13 163
74 77 129
9 81 101
78 89 174
86 69 188
39 67 200
12 37 164
36 68 136
51 74 147
44 61 159
96 59 189
49 72 152
9 91 166
81 96 108
78 7 167
89 96 111
52 57 140
13 65 159
44 62 193
73 31 140
61 35 118
55 70 153
23 40 135
94 65 185
67 75 169
69 65 200
66 74 175
97 14 198
70 20 152
48 23 142
36 44 146
29 68 152
2 0 194
15 84 129
20 27 130
95 36 185
23 92 171
94 96 122
11 10 145
13 83 100
95 58 169
45 8 159
33 7 175
21 76 113
14 24 155
2 36 109
0 45 184
29 53 178
83 70 149
28 27 155
8 60 100
51 65 117
9 94 175
36 8 151
49 24 145
