20 60
42 75 523
91 9 671
4 85 812
32 68 504
70 86 881
3 1 646
21 40 962
56 65 879
85 83 935
52 12 589
84 61 990
0 65 864
59 93 589
6 11 822
74 38 634
73 8 654
55 68 676
64 93 715
78 52 554
45 21 958
36 24 173
39 88 197
58 74 108
44 66 113
62 57 176
15 50 132
8 59 160
70 28 157
21 95 128
76 97 105
19 5 109
34 46 120
42 83 178
5 20 183
30 72 100
11 92 168
86 63 193
82 9 178
36 28 132
94 79 146
94 62 118
45 91 142
12 46 108
35 92 100
76 6 111
95 0 167
97 41 130
94 9 184
51 62 170
42 58 198
7 63 129
91 28 129
59 62 114
43 7 149
47 35 106
39 73 123
71 65 116
3 66 164
82 52 129
48 57 153
57 42 196
38 84 125
81 49 172
31 74 152
78 27 131
78 96 179
76 93 122
22 16 196
61 76 147
8 69 164
12 34 130
22 67 110
32 98 102
83 34 136
78 67 148
88 36 109
17 86 111
86 64 172
64 1 186
59 28 192
