500 2000
96 19 887
1 25 863
100 31 969
89 99 504
66 27 753
87 45 905
29 15 539
95 66 539
4 69 835
46 94 628
38 47 970
70 86 956
39 62 591
33 66 558
1 98 980
84 8 950
35 20 778
42 22 944
27 41 851
6 2 943
0 41 658
100 26 979
85 57 994
77 8 732
85 68 859
97 57 608
32 12 991
49 85 650
83 95 651
5 39 880
11 53 540
77 89 505
82 46 841
85 7 873
91 39 964
47 52 669
24 20 809
86 4 620
21 62 518
96 32 871
39 19 876
28 90 770
77 13 675
44 59 903
96 57 904
60 46 887
65 14 631
72 6 587
47 79 986
71 58 752
59 37 844
78 83 970
63 89 759
40 73 878
87 94 527
50 86 890
69 73 766
72 34 651
11 5 840
7 63 674
11 41 740
22 93 961
8 82 516
75 88 740
18 29 510
8 11 526
88 79 949
87 99 658
7 41 994
31 10 572
2 99 735
59 98 775
16 27 834
44 48 954
29 89 928
52 43 809
65 0 777
2 12 787
59 21 921
77 64 905
77 13 636
65 16 544
33 67 711
22 93 897
0 67 792
5 11 963
74 5 548
46 99 981
48 85 800
69 95 508
98 71 955
88 96 928
37 78 713
14 15 776
32 11 573
20 6 778
10 39 741
9 73 715
59 3 527
61 22 919
90 20 612
48 52 513
100 96 647
0 84 803
1 74 529
28 96 982
19 86 534
63 14 995
5 89 992
97 59 852
93 100 609
7 77 696
73 71 789
73 68 676
39 55 548
15 25 642
85 65 629
0 24 669
81 13 536
94 80 819
24 74 733
98 57 798
93 60 981
51 33 632
46 53 921
87 71 703
57 82 989
16 51 918
86 15 713
48 1 834
47 17 742
4 92 624
1 63 593
62 39 875
1 64 965
47 26 791
49 11 585
74 69 704
48 58 789
85 86 859
30 26 605
88 50 972
49 86 582
68 89 531
16 62 812
99 50 696
37 33 781
24 76 565
93 1 965
92 74 678
94 38 812
58 38 887
34 38 500
87 84 948
92 10 976
11 88 930
98 80 833
88 58 744
98 54 960
26 84 564
88 70 782
16 72 674
17 65 869
44 13 711
18 84 947
46 5 640
70 66 761
19 86 545
15 54 688
86 59 961
61 28 559
94 55 873
67 3 919
51 67 773
64 84 570
69 61 624
26 75 769
64 7 728
11 0 922
60 3 534
55 20 880
79 45 984
19 22 518
3 95 918
76 67 697
10 27 600
66 74 524
39 61 759
93 63 991
36 0 869
45 43 761
51 87 816
98 87 719
100 61 555
63 91 915
94 9 518
18 69 905
6 93 603
54 7 901
18 11 814
85 70 589
59 58 919
92 3 596
46 3 730
12 51 501
54 95 932
13 49 820
3 0 609
25 69 969
99 47 781
68 34 896
5 82 686
49 93 951
78 17 910
52 0 753
36 50 936
8 10 995
72 15 875
62 67 833
73 37 949
56 81 884
43 22 994
76 21 777
88 23 946
99 80 716
57 63 708
46 3 980
28 67 724
18 26 807
0 55 937
51 57 905
48 23 876
98 34 979
51 91 671
33 50 679
73 89 647
37 12 669
93 86 806
89 40 599
89 58 829
65 73 521
47 38 857
41 79 920
25 65 825
73 100 629
8 89 636
22 43 810
74 18 515
0 33 959
92 48 766
12 17 740
0 99 916
4 51 861
22 47 785
3 71 840
84 70 866
33 49 698
39 94 808
38 18 685
4 51 741
89 100 673
75 43 710
40 31 958
49 33 543
82 80 867
64 52 860
76 8 890
95 26 544
0 42 809
59 89 580
51 55 734
44 90 621
74 100 910
83 92 689
20 76 689
60 56 581
64 94 955
100 62 956
56 56 663
96 100 979
68 19 507
13 55 820
44 29 846
72 22 734
44 46 595
0 59 780
66 26 683
36 34 981
75 84 737
69 31 665
32 59 689
2 24 694
51 83 591
7 2 510
54 43 695
23 66 812
84 27 899
40 29 842
68 64 908
41 17 938
49 85 641
25 93 619
74 9 784
13 67 659
98 40 588
44 80 781
25 28 971
2 18 713
57 50 701
68 15 978
30 27 992
65 27 671
88 40 992
43 100 542
29 33 847
94 69 810
22 1 681
80 72 786
75 88 559
31 10 899
65 92 928
64 82 800
22 100 573
83 24 604
7 3 548
4 1 625
28 89 601
83 45 877
48 95 863
47 27 523
3 21 937
32 21 801
79 9 801
90 81 878
39 45 576
48 91 720
87 16 775
63 32 851
82 20 650
90 27 947
68 87 958
0 59 764
15 31 897
79 95 838
11 10 721
57 61 581
68 81 625
52 50 990
44 24 601
60 12 878
18 18 671
31 34 559
83 38 969
45 70 693
2 80 705
53 30 836
72 99 971
22 42 584
53 69 715
32 24 898
40 57 582
43 35 883
75 31 827
46 90 560
62 88 910
32 33 880
4 16 810
53 11 636
88 71 831
79 90 902
0 34 628
67 49 903
73 100 786
54 29 856
88 23 843
70 74 536
60 6 720
42 45 834
98 30 523
85 26 797
19 53 697
20 17 684
5 47 890
99 71 814
32 93 519
87 42 891
79 69 557
37 5 998
60 38 645
14 20 659
47 55 948
58 32 894
48 98 875
97 4 894
56 22 947
37 91 743
86 93 566
72 86 657
13 59 783
29 70 852
34 32 609
84 84 669
56 59 995
60 92 593
70 88 973
0 93 569
30 22 995
74 58 704
61 21 580
82 46 544
64 25 644
97 43 722
61 45 739
72 14 956
21 25 772
98 76 557
22 56 752
54 65 753
32 14 830
58 23 672
24 94 547
81 56 842
89 57 611
47 67 824
53 86 668
98 66 980
16 0 626
8 88 733
34 13 774
30 92 795
23 9 512
3 5 717
19 59 684
93 57 557
66 50 954
90 49 933
49 2 578
63 81 669
75 27 675
68 69 884
4 83 623
83 68 600
20 3 506
70 51 979
19 62 794
97 91 987
67 12 676
28 78 523
99 62 584
5 95 507
54 75 916
67 36 939
25 29 970
0 37 822
38 33 637
24 3 700
19 56 702
57 3 717
55 26 541
82 21 590
97 16 835
5 83 937
70 83 947
67 96 726
81 79 915
83 64 760
96 9 737
76 83 655
87 33 503
77 29 679
45 52 683
90 39 611
9 64 661
71 73 933
9 69 758
29 14 677
100 72 659
9 9 827
80 44 721
40 30 937
42 42 683
59 64 947
94 64 649
12 13 508
66 91 699
69 48 640
37 20 525
35 55 566
73 30 947
14 66 598
46 12 738
76 59 813
51 45 866
50 67 840
10 49 883
20 8 780
8 62 756
71 61 730
60 17 586
83 27 892
90 1 135
41 54 148
93 92 180
20 32 166
71 9 156
92 65 148
97 11 176
3 18 198
64 9 116
13 39 186
74 16 138
3 54 148
65 6 139
42 79 145
53 91 113
9 10 151
13 81 150
79 89 143
100 20 198
82 77 104
59 41 186
98 87 140
42 30 192
80 37 131
52 52 123
31 41 136
45 28 126
70 81 197
17 25 161
56 32 140
93 62 153
55 92 117
74 80 138
5 62 121
52 63 112
26 12 129
60 87 132
7 73 190
33 26 113
61 59 160
94 26 103
28 24 145
0 4 135
35 18 180
33 92 184
38 80 110
25 71 124
74 96 126
5 34 143
99 49 130
14 52 195
1 66 167
35 39 138
95 30 129
0 11 177
5 79 114
72 19 114
91 96 137
61 27 188
80 99 172
16 31 109
78 12 134
4 66 163
68 38 136
41 17 152
80 88 136
5 33 172
31 8 192
81 2 182
32 65 164
62 5 187
97 67 137
49 72 121
55 42 192
30 92 115
8 49 181
79 88 143
98 96 128
75 67 169
49 97 114
12 77 164
31 21 161
78 5 176
30 24 113
57 42 141
24 97 187
2 58 140
44 96 195
45 27 106
87 67 127
3 73 165
48 85 175
71 41 172
41 44 142
55 68 151
48 30 105
97 22 198
72 74 131
82 50 174
54 70 142
81 69 138
26 83 185
72 71 189
75 37 137
71 85 176
59 62 168
39 26 142
3 83 189
78 65 173
64 75 138
6 27 174
1 14 165
16 71 128
30 78 124
94 65 147
91 27 150
19 29 142
27 72 133
96 62 179
67 39 176
21 58 196
78 25 130
61 46 103
30 14 126
91 32 127
46 6 190
30 32 173
68 90 156
45 98 108
79 74 140
24 36 116
41 80 190
35 44 198
53 10 151
85 97 146
70 74 144
29 20 150
86 30 127
15 8 178
64 50 157
96 79 123
83 4 181
43 90 105
41 59 125
60 34 187
32 38 143
65 45 196
28 19 167
32 69 194
46 0 103
47 60 121
80 56 170
38 67 144
12 26 130
95 17 126
78 84 125
53 84 195
88 47 200
99 98 100
47 12 146
99 14 191
36 60 156
7 35 164
32 45 154
20 28 137
74 51 154
18 92 135
9 28 167
27 87 114
88 99 183
92 15 121
50 20 158
73 18 123
41 6 151
59 9 190
78 58 199
61 90 157
61 32 125
36 67 121
76 33 120
85 36 165
60 5 108
26 20 139
9 89 103
31 99 190
61 91 148
98 42 167
12 0 150
55 9 130
56 54 197
21 54 168
68 100 115
44 4 154
27 49 152
31 69 166
21 36 185
67 84 160
79 35 145
86 63 141
61 18 144
13 23 128
28 11 165
12 34 145
91 50 200
87 38 108
52 72 113
42 31 162
13 43 178
8 99 179
14 32 124
87 23 153
51 92 161
56 57 110
68 61 188
18 59 118
7 23 116
89 36 138
29 42 154
86 27 141
64 14 150
72 81 120
38 9 127
87 99 185
18 32 130
54 16 135
50 25 106
31 91 138
77 53 119
90 88 195
99 5 165
7 23 190
60 51 107
