100 150
85 22 770
83 53 779
9 94 769
92 8 548
85 66 787
85 85 991
71 60 547
96 76 816
69 54 672
63 11 912
85 12 874
56 41 689
87 37 671
42 56 919
82 66 911
25 74 740
31 28 647
94 71 766
5 84 695
2 99 638
6 32 902
7 29 967
48 68 807
13 52 832
50 97 621
94 80 849
41 58 774
90 9 943
79 56 672
29 78 684
21 70 812
99 3 702
5 58 637
99 90 735
60 35 943
1 66 519
89 46 979
2 69 610
68 67 806
62 96 523
85 6 566
98 97 910
24 46 813
70 82 933
93 55 919
41 96 699
22 46 673
16 59 558
91 12 646
4 75 788
8 27 891
12 42 685
77 88 743
83 65 849
21 27 798
20 43 813
53 87 985
42 34 989
71 48 936
78 7 940
12 40 651
22 13 932
26 49 749
91 72 635
11 32 670
40 51 864
92 71 543
43 25 894
79 18 808
76 14 842
58 48 531
54 31 988
99 52 916
76 93 740
31 92 518
3 5 703
22 49 604
2 6 575
53 48 658
59 7 968
39 90 897
88 71 846
69 4 872
20 93 541
82 39 870
70 75 781
98 71 840
85 42 731
45 82 551
6 20 583
91 79 570
91 6 540
86 36 659
50 45 596
85 82 897
94 88 821
85 38 810
2 85 515
44 61 950
29 34 536
54 43 181
22 51 195
7 46 164
54 47 124
59 40 110
15 10 123
35 48 126
73 36 181
2 38 182
13 15 133
45 22 171
44 33 148
10 74 198
98 93 172
43 56 128
21 6 194
74 19 194
61 85 169
92 54 174
71 56 123
42 88 132
19 60 164
68 32 168
72 61 188
11 87 115
12 11 119
2 58 177
84 70 138
43 2 176
10 20 145
28 96 177
34 28 114
59 64 175
98 94 147
43 11 109
19 61 187
5 15 172
28 32 111
40 79 180
30 67 120
71 98 138
93 25 179
22 26 140
38 68 187
36 69 125
0 38 156
19 37 114
17 56 117
4 10 178
57 82 200
57 40 188
14 56 160
16 97 138
46 63 180
89 13 117
11 28 194
71 82 159
17 89 136
33 74 139
97 90 181
54 73 119
71 69 184
22 58 147
71 37 189
83 87 189
51 20 182
36 70 149
58 40 142
67 50 139
92 21 191
13 72 198
6 70 162
4 19 116
21 70 135
18 11 186
56 54 185
25 22 142
63 53 158
93 70 158
5 83 186
64 87 115
79 86 117
7 43 154
47 32 105
87 91 178
36 29 109
27 80 119
79 40 105
41 69 135
78 98 197
32 73 109
56 17 195
9 31 119
63 6 106
10 71 104
83 44 168
2 15 172
21 5 157
33 44 185
61 69 184
42 69 199
66 51 134
74 97 183
89 11 167
10 95 150
44 92 115
34 88 174
8 73 160
7 36 161
61 96 132
70 92 199
54 77 194
7 63 188
25 58 146
89 64 195
53 64 134
37 10 193
88 79 130
86 11 186
6 23 169
3 25 199
95 68 150
18 94 160
61 25 113
65 65 162
57 64 107
81 16 136
1 43 112
72 76 198
14 28 197
99 93 198
53 44 121
18 0 190
41 14 131
30 36 171
44 53 168
65 69 142
79 42 117
36 17 141
0 15 130
31 32 110
70 87 148
86 76 159
88 40 191
79 53 176
17 55 104
50 71 193
38 37 149
51 11 100
51 73 111
