500 1500
54 48 744
8 46 622
22 73 644
7 22 905
3 3 947
71 32 618
56 27 810
92 53 719
16 30 855
74 4 738
93 65 924
7 36 772
92 94 798
57 45 874
16 29 929
82 62 706
58 75 752
60 86 982
100 41 610
95 54 572
76 1 552
73 62 578
25 42 858
60 29 846
99 57 775
74 59 631
100 91 773
50 72 915
72 59 994
12 37 867
16 62 524
58 87 981
60 77 593
54 8 512
92 65 548
60 43 805
37 91 666
11 78 622
77 8 833
87 17 673
50 59 995
46 55 810
25 25 891
4 4 604
12 24 782
77 6 864
12 90 1000
81 47 874
8 38 764
54 75 902
86 42 680
98 28 600
61 68 795
88 0 605
40 26 821
98 61 798
94 91 829
2 47 973
38 18 757
2 35 720
81 31 537
5 73 904
10 22 605
88 16 782
12 8 576
14 75 906
91 95 698
69 76 524
19 51 622
18 60 676
7 46 753
68 97 620
59 85 763
55 95 686
92 77 828
67 100 860
1 83 975
80 1 708
29 19 701
78 76 619
27 77 924
38 73 993
36 99 820
69 3 948
38 76 571
24 94 956
2 36 581
63 84 872
49 8 683
12 28 828
59 29 780
62 44 659
4 71 586
70 41 593
5 57 994
77 53 602
74 45 907
35 52 745
12 12 867
50 31 737
18 13 937
96 39 975
34 96 902
11 44 846
34 72 900
61 25 597
23 94 918
47 51 633
71 82 698
60 79 767
47 35 832
11 40 688
100 15 604
41 76 943
15 51 884
43 73 955
54 33 748
41 84 501
32 98 501
71 79 914
0 67 847
53 34 870
69 16 579
8 30 584
94 25 878
2 43 816
82 30 500
40 80 888
59 60 593
82 62 735
3 44 840
78 17 523
40 39 709
69 25 553
34 97 712
10 76 722
62 31 586
34 35 964
0 77 620
8 17 781
25 24 681
67 1 519
59 1 721
74 86 820
64 29 878
77 41 514
40 23 898
4 72 937
15 21 619
85 84 824
9 18 837
31 38 608
0 95 918
59 82 642
19 49 548
12 60 977
44 72 668
74 32 533
44 100 620
14 56 726
27 17 923
34 82 730
29 92 521
55 25 985
57 77 765
53 92 782
58 0 625
7 3 927
19 89 738
86 53 746
28 3 953
72 82 564
89 14 626
12 86 747
24 22 611
34 56 793
51 87 886
78 53 589
28 50 883
58 12 818
16 48 898
19 55 512
0 56 662
65 15 886
14 27 504
58 100 996
30 38 868
63 57 507
93 91 532
5 20 622
28 92 719
60 88 673
8 13 722
5 78 930
71 15 591
25 24 629
39 20 569
91 12 887
59 77 946
62 34 578
67 8 690
54 86 884
50 87 690
0 40 724
87 27 945
76 90 941
9 96 806
33 24 949
58 37 803
40 48 739
68 59 787
90 24 947
88 62 654
69 3 508
96 19 760
10 49 630
90 18 765
28 80 558
12 0 571
2 30 631
8 4 690
7 27 772
0 46 968
71 17 971
91 1 715
17 92 565
12 68 591
71 95 913
91 72 831
100 36 891
67 65 791
99 50 625
56 91 822
34 90 932
40 15 761
58 6 991
84 78 546
69 9 757
67 97 634
64 62 899
31 36 629
59 79 728
70 75 908
13 94 656
53 83 862
74 15 648
90 67 904
54 75 537
64 69 887
24 75 1000
23 92 825
80 98 566
49 44 505
46 14 753
3 77 617
86 20 661
85 74 658
59 25 905
88 88 681
54 42 536
76 10 589
53 66 646
61 65 731
46 15 729
95 2 798
82 74 791
94 33 642
19 98 719
81 53 557
31 76 898
78 62 562
72 30 523
93 64 979
93 2 897
6 34 500
63 31 918
60 90 818
53 89 959
57 75 780
38 99 840
21 68 714
48 52 694
68 48 600
10 17 850
19 81 892
39 33 888
84 12 979
7 13 832
75 10 831
33 8 937
94 33 824
69 57 679
23 64 846
60 24 932
17 72 837
73 25 788
63 0 862
25 84 551
23 86 787
22 57 946
83 22 522
5 55 929
26 65 616
7 3 988
15 43 858
32 63 950
82 48 912
44 90 705
73 62 666
23 32 867
36 59 638
65 36 661
73 11 679
30 52 556
45 20 792
22 55 568
78 64 964
13 25 622
60 17 674
85 82 772
59 79 647
70 49 977
38 70 786
82 34 636
18 31 537
98 71 781
48 89 900
53 24 923
79 84 784
61 43 673
32 98 920
59 4 674
38 16 750
17 42 704
62 13 650
98 97 872
38 66 845
46 42 641
40 67 777
3 97 636
47 21 846
16 47 521
71 55 509
3 6 930
15 29 553
76 62 523
60 8 874
27 39 651
66 93 708
75 47 810
13 34 916
4 1 623
25 68 810
46 4 714
34 64 825
84 7 736
1 71 749
30 36 587
60 35 703
64 43 746
52 58 836
93 66 933
87 53 821
89 19 515
19 65 821
0 12 762
41 82 876
49 33 828
44 2 680
59 72 848
72 42 835
6 83 519
18 27 993
27 33 541
65 99 689
78 20 577
15 51 898
37 44 518
30 62 607
33 82 608
91 88 635
83 96 737
9 70 577
8 36 857
16 68 911
31 24 722
5 80 869
26 51 958
50 8 953
30 10 649
33 40 777
96 28 574
25 33 770
42 64 719
33 0 673
92 86 824
91 52 507
44 73 529
99 77 553
28 50 640
43 58 625
93 67 912
48 33 589
91 40 690
72 27 746
23 49 771
14 36 638
94 69 674
20 30 967
20 67 818
36 16 631
19 5 501
40 64 796
85 60 639
17 58 809
77 37 588
61 18 852
50 36 858
40 28 731
14 72 893
48 98 735
33 40 669
31 28 696
68 21 808
11 90 817
22 88 697
34 13 842
81 65 546
38 54 601
41 79 620
17 14 985
21 76 805
91 13 761
83 83 605
57 41 631
61 43 692
74 84 815
72 73 909
100 91 615
25 64 724
82 80 627
9 51 659
63 49 538
89 1 761
33 79 846
87 98 942
71 55 918
45 54 932
85 16 740
8 82 655
58 85 591
6 64 951
21 81 815
73 31 957
18 19 603
24 56 982
11 96 849
64 1 756
97 12 981
32 46 620
33 20 959
36 74 685
76 92 691
6 75 937
92 95 926
96 5 625
52 57 696
74 86 842
73 12 695
86 52 981
28 44 580
88 74 715
70 60 576
15 34 543
58 67 777
65 70 724
99 29 516
6 18 621
87 95 530
9 61 854
40 53 721
27 60 805
54 5 661
54 97 573
56 92 569
68 37 668
15 15 805
16 32 572
88 73 563
93 1 587
8 18 965
54 74 693
57 54 878
26 1 697
76 58 521
15 47 757
52 73 633
14 78 676
89 43 611
39 73 764
77 74 113
81 38 198
1 29 120
50 38 173
15 25 119
17 39 124
44 77 134
0 8 183
2 34 176
99 53 133
55 57 120
50 12 149
19 41 197
0 35 159
59 0 169
27 20 138
70 91 183
94 41 167
23 10 117
27 79 190
53 91 177
59 37 114
65 42 116
41 6 121
32 12 129
52 58 196
7 19 102
35 25 141
34 50 115
43 17 156
36 100 110
44 81 134
91 34 100
47 55 118
77 81 187
4 3 145
89 62 134
84 8 178
52 16 116
24 82 123
0 54 140
35 85 167
23 51 156
59 10 189
63 76 126
38 74 198
29 79 116
49 9 158
68 81 142
2 70 169
57 5 167
66 88 133
81 39 144
52 78 172
16 85 188
44 60 166
51 83 137
83 70 101
8 31 155
40 35 131
44 33 194
42 58 100
63 50 146
0 65 180
19 22 191
31 71 187
55 54 164
53 43 176
39 80 150
32 68 110
47 3 116
40 95 155
74 32 164
3 14 135
32 62 135
32 23 100
98 49 159
54 28 131
76 56 161
47 31 129
15 53 146
100 88 100
57 94 188
36 5 127
65 33 115
70 5 159
98 60 121
89 81 184
11 81 130
7 34 113
43 34 100
19 0 177
62 43 180
97 93 116
22 31 168
73 50 156
32 86 145
69 91 191
54 21 146
15 41 134
50 92 172
100 56 169
8 10 127
88 38 151
83 21 111
2 24 124
96 30 183
58 17 175
4 19 125
85 82 173
99 42 104
5 54 177
56 75 131
5 69 142
19 80 195
48 87 161
47 12 167
5 99 127
50 44 189
86 49 182
88 5 181
23 8 122
60 81 120
3 79 100
68 55 177
23 99 176
61 1 151
68 16 181
68 28 189
29 49 139
59 97 196
10 29 140
47 89 173
3 48 109
34 58 139
70 50 200
98 31 190
79 7 148
81 95 156
46 55 176
4 3 136
61 64 153
71 97 138
64 63 106
6 51 180
84 35 186
79 69 140
62 18 157
24 0 170
87 83 108
99 45 160
6 91 172
89 74 102
47 56 171
17 10 196
25 82 142
51 8 104
88 0 102
4 36 122
49 71 111
61 22 124
15 23 155
59 49 192
72 7 152
53 54 190
78 48 162
59 87 158
47 28 173
43 88 180
58 24 134
62 77 170
61 60 188
1 64 145
43 74 156
81 43 145
53 9 189
70 20 130
76 29 118
58 52 164
68 69 126
71 11 161
62 53 187
13 98 151
43 58 157
79 44 131
54 13 170
95 34 186
63 89 199
60 3 152
69 56 194
99 88 118
2 9 193
29 49 104
95 97 192
92 41 119
22 3 177
7 98 129
50 73 104
62 18 200
95 61 118
67 85 194
81 23 170
10 21 117
29 24 167
57 31 163
97 28 102
89 56 103
44 54 112
7 18 187
97 13 102
8 64 116
3 27 153
46 64 159
80 29 194
78 83 120
2 84 151
15 53 113
48 30 115
65 30 145
33 60 104
27 64 164
38 29 127
18 82 115
74 2 148
13 6 184
21 93 129
56 69 192
74 9 183
76 92 183
2 54 104
29 72 129
65 19 109
58 90 114
53 58 105
74 12 138
80 94 132
12 61 192
5 79 135
99 4 184
60 31 131
7 96 109
43 24 173
30 67 141
62 22 150
91 11 119
84 49 151
90 66 121
28 96 115
1 80 130
71 86 162
36 71 127
1 8 174
57 10 178
1 13 188
30 67 183
26 81 107
88 23 119
77 62 132
82 71 166
43 22 157
100 34 118
33 33 173
93 91 171
3 14 183
39 75 119
77 71 111
84 95 136
0 82 162
59 33 109
47 24 173
7 12 136
11 94 173
47 92 146
33 68 187
48 36 147
3 69 187
72 51 109
54 27 124
92 8 148
29 50 183
98 24 142
47 94 173
14 92 192
40 87 163
59 79 110
59 28 135
41 22 147
94 12 101
15 72 141
81 15 132
51 30 106
10 52 107
58 41 144
16 3 143
81 18 177
94 21 163
58 37 160
80 93 106
41 49 198
73 26 111
99 7 188
21 60 191
100 90 135
9 74 200
10 29 145
39 93 189
76 82 155
30 40 159
69 32 190
37 92 191
98 70 160
68 1 102
92 65 126
34 35 130
89 13 127
100 17 138
52 51 150
96 44 131
99 85 197
54 38 106
95 29 142
68 85 114
61 54 185
28 28 128
99 94 162
77 7 127
42 44 157
59 37 161
77 22 145
92 15 122
48 16 110
91 20 134
92 67 111
78 18 150
36 23 143
53 69 178
74 2 113
18 39 118
89 87 120
46 84 191
87 37 180
16 87 114
72 33 123
40 93 110
22 26 181
20 29 107
87 92 123
5 22 148
23 54 157
15 88 154
68 25 182
16 44 200
34 4 190
27 14 192
13 35 114
38 26 196
71 27 163
10 55 109
67 37 128
98 80 194
11 26 102
68 92 145
33 86 180
10 10 159
28 82 156
81 96 102
32 73 150
56 47 144
47 71 120
34 95 135
12 20 148
90 60 130
81 48 127
8 76 135
26 63 170
48 26 170
92 4 113
85 11 109
72 35 195
76 35 189
86 0 137
92 45 157
83 79 175
28 64 147
83 0 139
37 57 133
73 70 185
22 36 160
15 15 157
100 37 186
83 23 179
62 17 181
32 60 113
100 66 101
63 57 176
73 63 160
97 78 166
75 66 180
99 29 192
32 49 103
85 74 146
37 64 135
59 73 157
88 74 192
45 62 127
32 14 150
84 17 103
15 70 170
4 44 136
48 16 144
31 13 162
23 12 156
41 61 199
13 100 198
84 27 197
73 38 197
19 1 105
64 80 190
56 92 177
72 67 104
23 39 190
64 59 168
71 28 190
94 54 169
1 26 178
9 20 121
19 90 160
54 93 137
96 87 153
87 70 186
72 9 146
63 39 124
24 81 122
98 85 166
97 92 174
24 62 144
3 57 193
14 67 136
10 39 158
52 32 200
32 11 129
47 66 152
93 15 185
84 23 117
81 27 157
16 30 132
19 68 199
88 81 182
86 82 121
58 25 171
6 13 200
49 23 197
65 96 136
77 60 132
8 92 136
17 72 126
57 15 155
6 69 113
10 58 134
35 19 102
