20 80
41 41 990
39 6 589
17 88 729
23 78 647
75 72 594
71 95 591
98 14 600
97 17 982
51 42 663
44 13 933
16 82 503
3 87 932
95 22 765
22 80 588
84 52 964
14 12 530
87 44 932
99 25 630
95 60 990
84 41 873
38 63 170
31 27 117
82 22 162
44 65 139
98 56 111
53 90 113
48 51 183
29 66 141
25 76 164
96 10 168
83 44 164
70 18 196
15 8 164
79 21 154
12 20 159
67 72 111
5 48 136
6 17 123
15 78 143
57 59 199
88 82 186
98 2 117
55 31 167
44 24 135
87 1 122
55 26 111
31 59 173
37 73 117
50 11 184
71 58 129
59 1 199
1 95 107
20 100 150
56 31 157
5 8 187
67 69 112
59 92 182
53 47 177
68 27 110
16 39 139
0 34 139
29 99 173
16 49 170
39 66 134
13 3 152
93 27 124
99 4 173
60 27 180
49 44 157
77 37 184
50 80 195
69 37 192
79 57 161
90 57 147
59 96 147
30 4 113
41 51 104
71 35 198
37 60 200
62 66 107
53 19 114
83 68 114
29 16 100
1 72 153
6 46 136
23 16 121
36 50 186
83 42 119
100 21 121
72 2 101
96 27 142
17 3 142
61 35 105
54 48 163
91 0 188
55 21 120
61 34 156
24 26 117
85 51 101
96 84 146
